Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2940663814 27.78 7.0 nan nan 9 14
2925637387 23.56 8.19 nan nan 13 2
2970731290 16.06 10.88 0.1483 0.0537 18 1
2939994883 22.39 9.61 nan nan 19 0
2939998503 24.86 8.62 0.2617 0.14768 3 20
2925856664 10.03 7.9 0.1501 0.02954 14 0
2938343292 4.81 1.67 0.0299 0.01875 17 0
2940670625 34.14 6.7 nan nan 2 8
2925857917 29.43 6.39 nan nan 11 4
2938353110 13.42 10.4 0.1657 0.03329 19 0
2925645993 17.07 7.06 nan nan 15 1
2970744291 23.07 9.52 nan nan 15 3
2940000433 32.18 8.97 nan nan 5 17
2939225137 26.37 9.01 nan nan 15 5
2937414043 34.51 8.19 nan nan 7 12
2925650558 16.87 3.91 nan nan 9 6
2939237071 17.51 9.31 0.1679 0.05953 14 5
2938397086 30.31 7.88 nan nan 4 17
2940013145 24.41 10.12 0.189 0.08202 16 3
2970751103 4.25 3.48 0.086 0.01158 19 0
2940014643 18.85 7.76 0.0811 0.0995 18 1
2937422649 19.63 6.82 nan nan 19 0
2938398472 16.05 5.88 nan nan 20 1
2925673228 27.03 7.11 0.5008 0.14839 8 7
2939280338 26.6 6.94 nan nan 17 1
2939310009 11.96 4.65 nan nan 18 2
2940056319 23.33 11.74 0.2672 0.10998 12 3
2970751833 108.27 24.06 nan nan 3 17
2940056737 16.26 7.83 0.0848 0.07057 15 1
2938399424 22.33 12.59 0.1353 0.07827 15 7
2925674035 27.9 5.14 nan nan 5 10
2939312215 29.62 0.0 nan nan 1 19
2940716813 26.16 2.29 0.125 0.2982 3 18
2938400751 8.65 3.39 0.1132 0.02093 22 0
2940060892 20.62 10.21 nan nan 17 0
2940720745 29.69 4.56 nan nan 6 15
2937457933 23.34 5.56 nan nan 9 10
2925685619 17.65 5.18 0.0758 0.09855 12 3
2939317867 33.5 0.0 nan nan 1 18
2937467840 25.72 9.42 0.3376 0.07071 14 4
2938404439 12.74 3.47 0.059 0.05295 21 0
2937538328 14.15 7.27 0.1069 0.04734 17 1
2938405366 28.5 10.36 nan nan 19 3
2940081689 18.83 14.32 0.1896 0.04944 16 0
2939318691 6.25 3.04 0.1329 0.01516 19 0
2970771568 62.22 0.0 nan nan 1 18
2937561037 25.76 8.55 nan nan 9 10
2970783790 32.24 13.99 0.2586 0.10942 18 2
2939320724 14.87 7.22 0.2373 0.04208 16 3
2937562787 19.3 8.63 0.0838 0.10112 14 4
2970784222 18.34 13.9 0.1928 0.06167 18 2
2938458011 23.99 10.85 nan nan 16 5
2940087655 25.6 6.59 nan nan 10 6
2939348426 34.78 10.05 nan nan 4 19
2970786038 17.29 10.56 0.1133 0.06337 15 3
2939349617 22.86 11.39 nan nan 21 2
2937678396 30.99 9.71 0.3745 0.12068 8 11
2940088831 23.5 7.96 0.2 0.07871 13 3
2940830092 16.23 6.63 0.3013 0.03815 19 3
2940842882 6.48 2.22 0.0906 0.01599 23 0
2937696114 44.82 13.95 nan nan 9 10
2938497808 21.31 11.31 nan nan 11 4
2940876953 17.06 4.69 0.0925 0.07361 15 2
2939366108 39.16 19.85 nan nan 11 8
2938498296 21.17 14.54 0.3581 0.11985 7 5
2970791376 31.24 13.25 nan nan 2 18
2940097386 19.41 8.94 0.0592 0.14147 13 3
2940102726 9.0 6.55 nan nan 16 0
2938570770 19.27 7.28 nan nan 18 0
2940876978 29.62 11.36 0.2573 0.17263 9 13
2970798013 22.49 8.6 0.0556 0.18256 20 0
2938627200 8.26 2.97 0.0722 0.02575 18 0
2940881991 18.46 7.19 nan nan 20 3
2970807282 22.42 11.48 nan nan 15 5
2939394053 6.01 2.17 0.0908 0.01595 19 0
2937718923 24.12 0.02 nan nan 2 16
2940901822 18.86 10.01 0.143 0.05899 18 2
2940117301 34.08 8.03 nan nan 23 0
2940123931 17.05 6.2 0.1569 0.05346 19 4
2938638637 19.11 8.18 0.0684 0.11184 16 2
2939394160 29.7 9.67 0.1476 0.119 16 3
2937721679 35.95 8.64 nan nan 9 10
2940128834 12.97 9.41 nan nan 18 1
2937741147 20.05 8.06 nan nan 16 3
2940908514 26.59 11.62 0.0866 0.18981 11 12
2940130869 41.46 10.98 0.1427 0.33202 7 15
2937772718 32.57 8.74 nan nan 7 12
2940139618 22.64 10.34 nan nan 19 2
2937774380 32.5 8.4 nan nan 3 15
2970850376 16.38 7.21 0.1055 0.06102 15 5
2939407691 21.1 9.0 0.1862 0.0729 15 6
2939408200 22.54 9.59 nan nan 20 0
2970857645 12.99 7.86 nan nan 17 2
2940922093 17.08 9.33 0.0693 0.08226 20 2
2940140085 12.93 7.83 0.2567 0.02954 21 2
