Source_ID PerErr ErrStd Fvar FvarErr Good Bad
2939489514 19.36 7.36 0.0826 0.09269 19 0
2970356187 14.46 5.65 0.0982 0.05313 17 0
2970935316 29.01 8.21 nan nan 9 9
2940231193 21.56 10.22 0.4145 0.05401 17 2
2970357916 17.87 4.82 0.1852 0.05091 17 2
2970942371 7.77 2.01 0.1409 0.02018 18 0
2970378528 11.45 4.6 0.1663 0.03135 17 1
2939514687 10.94 3.24 0.0882 0.03284 19 1
2938749340 14.67 8.87 0.5526 0.02577 17 5
2970383237 25.71 9.48 0.1977 0.09852 12 6
2970946076 12.79 6.79 0.0918 0.04365 19 0
2940236735 14.42 6.5 0.1458 0.04006 19 0
2938756405 17.63 7.07 0.204 0.04482 20 3
2970386160 10.81 3.47 0.1819 0.02779 18 0
2940246544 9.47 2.28 0.0726 0.03107 19 0
2938846711 35.03 16.38 0.3141 0.19802 3 15
2939525621 24.78 8.5 nan nan 12 8
2970951477 10.83 15.01 0.3226 0.01696 19 0
2970394610 6.45 2.02 0.0963 0.01736 20 0
2938847122 17.57 8.2 nan nan 15 3
2939561305 18.89 9.33 nan nan 14 6
2970958095 13.1 4.51 0.0954 0.04672 17 2
2939588568 6.69 2.8 0.1011 0.0191 16 2
2970400768 18.77 6.44 0.235 0.05884 12 6
2970976602 15.0 7.94 0.0624 0.07285 19 0
2938870271 18.96 8.88 0.1047 0.06926 19 2
2939592056 14.65 4.98 0.1417 0.04329 19 1
2970976845 5.8 2.26 0.2376 0.01338 19 0
2938870373 19.22 10.61 0.3598 0.08419 10 8
2939614421 9.65 3.04 0.0942 0.03276 17 0
2971008992 4.89 1.8 0.0913 0.0129 19 0
2970411872 11.51 4.88 0.2366 0.02779 18 1
2970411893 12.83 4.19 0.0791 0.0594 18 1
2971010612 8.58 2.83 nan nan 19 0
2939622876 5.18 1.26 0.0491 0.0166 16 0
2970414144 11.67 6.22 0.0393 0.07156 20 0
2939627477 11.91 6.33 0.1946 0.03 19 1
2971040058 10.14 4.12 nan nan 19 0
2970437712 13.47 5.23 0.0828 0.05555 16 2
2971049565 15.32 6.83 0.1167 0.05397 17 1
2939630161 17.16 5.47 0.1148 0.06093 18 2
2971063166 12.24 3.62 0.1112 0.03435 19 0
2971069721 8.43 3.61 nan nan 17 0
2971078293 15.81 6.2 0.1212 0.04949 18 1
2971088445 16.31 6.24 0.4482 0.03953 16 3
2971108787 10.47 2.24 0.1072 0.02954 19 0
2971113257 11.08 5.23 0.141 0.02878 19 0
2971114154 7.93 0.92 0.149 0.01963 19 0
2971128594 10.44 4.1 0.0908 0.03305 19 1
2971138367 8.0 4.96 0.0275 0.05536 19 0
2971151184 28.94 9.46 0.1103 0.18197 9 10
2971163280 15.13 5.56 nan nan 19 0
2971173079 10.21 3.69 0.1964 0.02634 19 0
2971173448 10.26 2.37 0.0997 0.0299 19 0
2971194281 12.51 4.0 0.1952 0.03078 19 0
2971207983 23.09 5.98 nan nan 15 4
2971214402 10.64 4.16 0.0902 0.03461 18 0
2939631904 8.34 3.06 0.1323 0.02357 20 1
2971214955 11.3 6.08 0.1636 0.03183 19 0
2939632726 12.73 6.63 0.1293 0.03653 20 0
2971221684 25.59 11.35 0.1241 0.11374 16 3
2939644652 19.18 5.86 nan nan 14 4
2971233167 7.34 2.84 0.1713 0.0181 19 0
2939647824 31.14 16.09 0.2288 0.0979 15 3
2939649235 25.69 7.99 nan nan 13 6
2971239272 19.62 11.31 0.1102 0.07952 17 2
2939649603 24.26 5.97 0.1923 0.13284 6 13
2971239599 20.01 7.1 0.2612 0.05658 15 4
2939650693 22.34 5.99 0.1205 0.1169 10 7
2939652807 27.63 5.61 nan nan 2 14
2971249735 11.66 4.71 0.1954 0.03063 17 2
2971258753 34.49 3.74 nan nan 3 16
2939885132 6.3 2.24 0.1604 0.01367 22 0
2940497535 11.32 5.88 0.1735 0.02956 19 1
2970486170 14.28 6.51 0.0617 0.06362 18 1
2971077718 11.39 2.54 nan nan 19 0
